metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,shapiro_p_human,shapiro_p_machine,t_statistic,t_p_value,u_statistic,u_p_value,cohens_d,effect_size,q_value,significant_fdr_005
compare (Comparisons),20,1.741625731594373,0.9705066933574072,20,1.3934364523718605,0.6622214788725501,0.5050206869627504,0.0013408378364407033,1.3253320125900425,0.19297469648946103,251.5,0.16768396956391574,0.41910678157194886,small,0.3624644412190311,False
insight (Insight),20,1.3664912613105804,1.068031510299923,20,1.7630909517478073,0.8094122242734373,0.1907409559205655,0.04841011274085367,-1.323529464939329,0.19356734745536092,150.0,0.18037285773291956,-0.4185367659552248,small,0.3624644412190311,False
power (Power),20,4.310332760545894,3.823575377933685,20,5.569021871451514,1.9955399536851313,0.00019758848493777427,0.9891617865377872,-1.3051328544803995,0.19969556110352635,111.0,0.016668798824275466,-0.4127192469275156,small,0.11213555572694404,False
ingest (Ingest),20,0.4577448021230242,0.6373300105176726,20,0.26155536268469665,0.3081790840237043,0.000183492995375566,0.0008806336459460588,1.2393693117507405,0.2228089005487049,222.0,0.5341729759200695,0.3919229887247626,small,0.7432788947385014,False
nonflu (Nonfluencies),20,0.14148585141485853,0.43572888101295404,20,0.019157088122605366,0.08567310258619884,1.976787298518415e-08,2.6930778880634766e-09,1.2319430622772662,0.22553936316862488,211.0,0.5340559754180607,0.38957460244388215,small,0.7432788947385014,False
see (See),20,1.2611736105190732,1.1196812267041467,20,0.8501791908970351,1.0289418218469528,0.00814703694092229,0.00013739768497999795,1.2087006483477136,0.23424549840605624,253.0,0.15487136596452028,0.3822247058101011,small,0.3624644412190311,False
number (Numbers),20,2.484346727679546,1.383869534294307,20,2.908775268555467,0.7949102374821552,0.21738253504030736,0.10646665201077044,-1.1893428114356595,0.24168352532741594,152.5,0.20347541989120443,-0.3761032202884839,small,0.38608156594741355,False
filler (Filler Words),20,0.11411358864113588,0.3589880659044607,20,0.019157088122605366,0.08567310258619884,2.251032659230794e-08,2.6930778880634766e-09,1.1506189348436298,0.25707833234773675,211.0,0.5340559754180607,0.36385765530227465,small,0.7432788947385014,False
money (Money),20,0.7717657971652263,1.2510596284954274,20,1.1492414539686173,1.0339433185484843,2.4208532163079092e-05,0.0007266170052195439,-1.040112900610989,0.3048603438997304,123.0,0.03523970377376772,-0.32891257896550646,small,0.16539892527799757,False
social (Social),20,6.7923273463667755,3.4444383877191544,20,5.910322829908273,1.731092139546384,0.5754357014816736,0.0405110184059858,1.0232086172183459,0.3126792248491207,224.0,0.5249869101903615,0.32356697519213545,small,0.7432788947385014,False
swear (Swear),20,0.02958579881656805,0.13231171464495797,20,0.0,0.0,2.6930778880634766e-09,,1.0,0.32363608386440756,210.0,0.34211225261696365,0.31622776601683794,small,0.5887513184571003,False
function (Function Words),20,45.09603968620686,4.242367252263417,20,44.07542089407794,1.7485696074579355,0.6688479339320132,0.04769590484827455,0.9947160482931433,0.32616659532002673,233.5,0.37199819790316513,0.3145568337728377,small,0.6256333328371414,False
focusfuture (Future Focus),20,1.0998531945925447,1.3197365249349662,20,0.7828495862626318,0.6277446068135796,0.0015031310754472604,0.07102679806608318,0.970068020049914,0.33814693005906865,205.5,0.8915714901957827,0.30676244286476145,small,0.9566824726092387,False
shehe (SheHe),20,8.150362448062289,2.669439316479283,20,7.523681128946434,1.106388623900251,0.4255638434588299,0.7074001918277768,0.9698810091118679,0.33823893780346337,257.0,0.12643061736676814,0.3067033048136024,small,0.34117486438799965,False
relig (Religion),20,1.3489982221024892,2.9853634830022373,20,0.6156074044546316,1.896352401241301,6.768967982280319e-07,2.859945717722453e-08,0.9273571482506745,0.35959413670675927,247.0,0.10991893979752747,0.2932560792910564,small,0.3128462132698859,False
cause (Causal),20,2.6017402410040615,1.4258887224410528,20,2.9163996887165196,0.8323739056532196,0.05094674245882379,0.5301632157251509,-0.852299929330314,0.3993875797253912,147.5,0.15950550846027367,-0.269520902628434,small,0.3624644412190311,False
home (Home),20,0.2327756099723362,0.4912644004069578,20,0.12642492428525334,0.2664780530000842,9.59342731022417e-07,8.001662272377859e-07,0.8510080306695698,0.4000958355783415,205.5,0.8588417773219579,0.2691123684010267,small,0.9566824726092387,False
netspeak (Netspeak),20,0.24098272638418625,0.7019149317168085,20,0.08928571428571429,0.39929785312496247,4.2742547875820135e-08,2.6930778880634766e-09,0.8400925825852678,0.4061112908039087,229.0,0.17972795098977,0.2656606006382552,small,0.3624644412190311,False
anger (Anger),20,1.1889359480086648,1.3730756088810645,20,0.9373076779066588,0.6323451080879016,0.0012386096095879518,0.504343172695352,0.7444107062500118,0.46120699941597926,197.0,0.9459420155886872,0.23540333463645785,small,0.9566824726092387,False
they (They),20,1.7288333224567078,1.144404608619114,20,1.510019500176838,0.6868466206814098,0.7068501552326166,0.785124680978158,0.7331731727203282,0.4679519324303441,220.5,0.5884538744950814,0.23184971451282665,small,0.7507859778040694,False
cogproc (Cognitive Processes),20,9.5559118623304,3.7590434757459508,20,10.280798092570121,2.3556385247940033,0.2666635865621211,0.08910612647598448,-0.7307662341283395,0.4694039683674987,160.0,0.285304715907688,-0.23108857369894234,small,0.5026797375516407,False
affect (Affect),20,4.466372893322878,2.936887234290086,20,5.014000401387451,1.7220537852058313,0.01547962821230534,0.7634583130608341,-0.7193562133392495,0.47632244026110065,157.0,0.25029679750351186,-0.2274804083146027,small,0.4517551954941434,False
we (We),20,0.1999891530727082,0.3866560635905872,20,0.2724633860199067,0.2677408318809262,2.3286376321607895e-06,0.0018377603872587614,-0.6891563801253061,0.4949116422129285,149.0,0.12909319193059446,-0.21793038252327632,small,0.34117486438799965,False
death (Death),20,0.18734851462777313,0.451844836724584,20,0.0982374185443982,0.3619794266965696,2.0926135495354406e-07,8.59413754699928e-09,0.6883342865890579,0.49542325328784786,219.0,0.4205648369563677,0.21767041372085166,small,0.6835081967929412,False
auxverb (Auxiliary Verbs),20,3.9808871340633893,3.1482505377164354,20,3.4706664622157772,1.1640858437692563,0.003472708940234898,0.8878310980136761,0.6797935627552018,0.5007557112180805,196.0,0.9245727283322236,0.21496959970270457,small,0.9566824726092387,False
relativ (Relativity),20,13.341287638213469,4.182603535275539,20,13.976058994474206,2.8048292853282955,0.8072578243682158,0.5459829381332286,-0.5636987607425386,0.5762709318837026,175.0,0.507505297961912,-0.17825719981607296,negligible,0.7432788947385014,False
discrep (Discrepancies),20,1.6459433664294782,1.0922018472803423,20,1.4917471998445468,0.7848844097577988,0.38282563116499957,0.8155740352254774,0.5127143632471693,0.6111188412032668,223.0,0.5423927069713388,0.1621345176943979,negligible,0.7432788947385014,False
sexual (Sexual),20,0.020408163265306124,0.09126808071427711,20,0.035339660339660336,0.10877996999262313,2.6930778880634766e-09,1.8914332470103398e-08,-0.4702636114559968,0.6408546356925319,191.0,0.6146947844610118,-0.14871041128974016,negligible,0.7709731194934724,False
certain (Certainty),20,1.148623230247067,0.9374636862392742,20,1.032722510596837,0.6564519229201895,0.2277051128434514,0.06419119049542972,0.4529018141501072,0.6531948756731559,202.5,0.9566824726092387,0.14322012891366154,negligible,0.9566824726092387,False
friend (Friends),20,0.4965908426909376,0.7691439948778157,20,0.5800478626178028,0.6623426104955981,2.4204525577970035e-05,0.00338167862026629,-0.36770555428163937,0.7151330068310229,177.0,0.5232586318940935,-0.11627870598246595,negligible,0.7432788947385014,False
you (You),20,0.6435039117401662,0.7443033360586906,20,0.5604042829847453,0.6951859366038601,0.0016190012374990765,0.001111064855179707,0.3648950529074298,0.7172127843122006,217.5,0.6365379159716287,0.11538994741151241,negligible,0.7850634296983421,False
health (Health),20,0.44682532028096134,0.7096485518663029,20,0.5610440226385949,1.2081329199960742,2.697257214971901e-05,2.982178931704026e-07,-0.3645620613402354,0.7174593437308918,186.0,0.6849494875114768,-0.11528464623211608,negligible,0.8293860559712052,False
focuspresent (Present Focus),20,5.113901602244137,2.2397060532306288,20,4.900470599638606,1.5793091880707433,0.7065924473608323,0.4297884734867715,0.3482876350863706,0.729546379780396,209.0,0.8181494613881999,0.11013822077465063,negligible,0.9314316945034891,False
affiliation (Affiliation),20,1.8840794275056207,1.506454211830563,20,1.9983993302556253,1.1305176810521311,0.008612354614096738,0.18696445959363278,-0.2714420970332653,0.7875202665903825,186.0,0.7149031410006159,-0.08583752794775523,negligible,0.8397274989531044,False
differ (Differentiation),20,2.7568402159509673,1.7621906837777876,20,2.634076673423272,1.143867606540786,0.6064555712113777,0.8943047513079558,0.2613247770995504,0.7952532553076341,204.0,0.9245692007780735,0.08263815046703894,negligible,0.9566824726092387,False
bio (Biological Processes),20,1.0225043258439244,1.208264100122116,20,1.1224796762973552,1.519612277700362,0.0007760328361040091,4.765031127426387e-06,-0.23029671478038838,0.8190965298289908,179.0,0.5762511971863911,-0.07282621563601911,negligible,0.7507859778040694,False
article (Articles),20,15.171760246027707,3.1921019644187902,20,15.045366504789973,2.0280004027875216,0.44828776267938353,0.01339092331830082,0.14946434950488813,0.881977696466202,190.0,0.7971974192691748,0.04726477734309064,negligible,0.9217595160299833,False
adverb (Adverbs),20,9.023774099739693,3.74504482927467,20,9.121720079449977,1.6133530027056757,0.1994761549540457,0.39255588615779274,-0.10741825568846992,0.9150223211741727,204.5,0.913832736477873,-0.03396863502579034,negligible,0.9566824726092387,False
dictionary_coverage,20,70.9273608120454,8.275652805387306,20,71.11326381297808,3.0000162162079884,0.052426259324205186,0.31893641402007555,-0.0944470290605561,0.9252503294804252,230.0,0.42488347368209856,-0.029866773006747026,negligible,0.6835081967929412,False
tentat (Tentative),20,1.5704627401611149,1.436052091737654,20,1.604566485926831,0.866388576312484,0.0068043797567466984,0.3933186003614572,-0.0909372633913613,0.9280201173674556,179.0,0.578844157041692,-0.028756887649934962,negligible,0.7507859778040694,False
negemo (Negative Emotions),20,2.659295865234122,1.941001810745472,20,2.6207522448382514,1.5995054492479988,0.08543324426987192,0.00708290316436497,0.06853401038904192,0.9457199122391727,203.0,0.9460738736200885,0.02167235700150149,negligible,0.9566824726092387,False
ipron (Impersonal Pronouns),20,14.540398239874241,3.485624615175291,20,14.569913980686911,1.8106824115180835,0.3690270630155482,0.8491648669018255,-0.033605608451551056,0.9733675533705756,215.0,0.6948910198677665,-0.010627026486270558,negligible,0.8293860559712052,False
