source,metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,difference,abs_difference,u_statistic,u_p_value,cohens_d,effect_size,significant_005,significant_001,characteristic_of
fakebr,feel (Feel),10,0.7848896484024517,0.7088282762249731,10,0.27040922533495737,0.23582537538240517,0.5144804230674943,0.5144804230674943,72.0,0.09954497203419306,0.9739728581321486,large,False,False,human
fakebr,work (Work),10,3.72050560327583,1.899350616256912,10,5.365507551048377,1.9659401426907555,-1.6450019477725468,1.6450019477725468,31.0,0.16197241048012612,-0.8510396736425742,large,False,False,machine
fakebr,i (I),10,0.27895495593515396,0.4909113845387157,10,0.0,0.0,0.27895495593515396,0.27895495593515396,65.0,0.07787247147704081,0.8036111901242157,large,False,False,human
fakebr,sad (Sad),10,0.7917297123510822,1.0599323562582643,10,0.18348733807206785,0.2077399958735201,0.6082423742790144,0.6082423742790144,61.5,0.3742948604677302,0.7963946919969717,medium,False,False,human
fakebr,body (Body),10,0.6201263406779404,0.8599683968234941,10,0.1485248809840436,0.1615234436327779,0.4716014596938968,0.4716014596938968,68.0,0.16546542931427588,0.7622178533561271,medium,False,False,human
fakebr,motion (Motion),10,3.4131113999789897,1.1205970731453374,10,4.3478057399299725,1.3368313543866355,-0.9346943399509828,0.9346943399509828,33.0,0.21229383619233155,-0.7577813626318509,medium,False,False,machine
fakebr,ipron (Impersonal Pronouns),10,13.901704985904862,3.1361829050553696,10,11.96304285385634,1.8187614929335683,1.9386621320485222,1.9386621320485222,75.0,0.06402210128302689,0.7562423701380775,medium,False,False,human
fakebr,cogproc (Cognitive Processes),10,8.715511490248494,2.3712635095132284,10,10.29740290837321,1.8839395249186426,-1.581891418124716,1.581891418124716,31.0,0.16197241048012612,-0.738680837710792,medium,False,False,machine
fakebr,netspeak (Netspeak),10,0.2470868240670221,0.4001144981609744,10,0.04292929292929293,0.08604406584545869,0.20415753113772916,0.20415753113772916,58.0,0.4562028338837304,0.7054711032329228,medium,False,False,human
fakebr,social (Social),10,7.369615864318649,3.840516337518405,10,5.338914731772787,1.3790480359337172,2.030701132545862,2.030701132545862,66.0,0.24132159301718004,0.7037791958031528,medium,False,False,human
fakebr,focuspast (Past Focus),10,2.477315769077087,1.758664030307165,10,1.5081177540897364,0.9409122625566814,0.9691980149873505,0.9691980149873505,69.0,0.16197241048012612,0.687200371181347,medium,False,False,human
fakebr,percept (Perceptual Processes),10,2.111483582178718,1.9245693655037555,10,1.1652138296073666,0.5308134964905601,0.9462697525713513,0.9462697525713513,58.0,0.5707503880581739,0.6703104757922095,medium,False,False,human
fakebr,informal (Informal Language),10,0.5552380925726379,0.5905848255353269,10,0.2599148439906614,0.20039068323724646,0.2953232485819765,0.2953232485819765,61.5,0.3994053617881699,0.6696802620344466,medium,False,False,human
fakebr,achieve (Achievement),10,1.079616589402292,0.8557209333561441,10,1.5057559919607377,0.4782941324067695,-0.42613940255844573,0.42613940255844573,32.0,0.18521445816171678,-0.6147515970987805,medium,False,False,machine
fakebr,drives (Drives),10,10.623149430888203,3.7760508032829136,10,12.479282587053193,2.24509336283595,-1.85613315616499,1.85613315616499,31.0,0.16197241048012612,-0.597525824436872,medium,False,False,machine
fakebr,assent (Assent),10,0.19819213045019496,0.31213520712429765,10,0.06161627853953354,0.09413648468924819,0.1365758519106614,0.1365758519106614,58.0,0.5058958819046655,0.5924375525240299,medium,False,False,human
fakebr,they (They),10,1.7991904560696859,0.7137265180696197,10,1.3778211042102495,0.722770400911523,0.42136935185943636,0.42136935185943636,65.0,0.27303633975118835,0.5866507552333246,medium,False,False,human
fakebr,negemo (Negative Emotions),10,3.3418021804017797,1.9806073971386065,10,2.32471447201987,1.5196652103468193,1.0170877083819096,1.0170877083819096,66.5,0.2263014317699833,0.5761733016262292,medium,False,False,human
fakebr,negate (Negations),10,1.3364808985602323,0.5892376719597057,10,0.9965823918246846,0.5963148915016621,0.3398985067355478,0.3398985067355478,67.0,0.21229383619233155,0.5733907734407919,medium,False,False,human
fakebr,bio (Biological Processes),10,1.5847340788898188,1.118732741347063,10,1.0894418242626625,0.6768249904211229,0.4952922546271563,0.4952922546271563,63.0,0.3447042220069576,0.5357007966287786,medium,False,False,human
