term,characteristic_of,distinctiveness,eta_human,eta_machine,abs_distinctiveness
todas,human,2.0874220523939795,1.1335000270792717,-0.9539220253147079,2.0874220523939795
ele,human,1.9628999504745415,1.093961373441367,-0.8689385770331745,1.9628999504745415
hoje,human,1.882596852742398,1.0669185982158647,-0.8156782545265332,1.882596852742398
do pais,human,1.8544580761424219,1.0546218027005758,-0.7998362734418462,1.8544580761424219
todos os,human,1.7611372393019953,1.0228686915388363,-0.7382685477631589,1.7611372393019953
mil,human,1.667024981734595,0.9873401120732048,-0.6796848696613901,1.667024981734595
que nao,human,1.6041510147686129,0.9615825092953101,-0.6425685054733029,1.6041510147686129
pessoas,human,1.6040767305432349,0.9615840081961737,-0.6424927223470612,1.6040767305432349
fim,human,1.6040758278195528,0.9615808098288586,-0.6424950179906941,1.6040758278195528
em que,human,1.5621800298069783,0.9447022994242679,-0.6174777303827105,1.5621800298069783
forca,human,1.5621757819379711,0.9447019655984227,-0.6174738163395485,1.5621757819379711
porem,human,1.5621738094063713,0.9447022581551847,-0.6174715512511867,1.5621738094063713
jamais,human,1.5621582624390655,0.9447025828910368,-0.6174556795480287,1.5621582624390655
agora,human,1.5621578770416336,0.9447025517000736,-0.6174553253415601,1.5621578770416336
aqui,human,1.5621535425509485,0.9447022516154733,-0.6174512909354751,1.5621535425509485
decisao,human,1.5411671783684728,0.9358600694082273,-0.6053071089602455,1.5411671783684728
tem,human,1.4982880395789184,0.9175520822479669,-0.5807359573309515,1.4982880395789184
todos,human,1.4644691836598842,0.9025405849679444,-0.5619285986919398,1.4644691836598842
valor,human,1.3845562366519686,0.8662849793429903,-0.5182712573089784,1.3845562366519686
caso,human,1.3623692233961942,0.8558169246528102,-0.5065522987433839,1.3623692233961942
ou,human,1.3332172053473337,0.8418893237043291,-0.49132788164300456,1.3332172053473337
vai,human,1.3224486969063955,0.8369867969380729,-0.48546189996832273,1.3224486969063955
seu,human,1.2183017589079992,0.7857044238097298,-0.4325973350982693,1.2183017589079992
pais,human,1.2161083681308134,0.7847030968855772,-0.4314052712452362,1.2161083681308134
pode,human,1.2101339350383724,0.781715135048822,-0.42841879998955046,1.2101339350383724
ate,human,1.2057237642837126,0.7792864575864444,-0.4264373066972682,1.2057237642837126
essa,human,1.1994574118197339,0.7765205820128387,-0.42293682980689523,1.1994574118197339
vida,human,1.1875368664375612,0.7688740332548142,-0.41866283318274694,1.1875368664375612
todo,human,1.1875281517750254,0.7687801559341603,-0.4187479958408652,1.1875281517750254
do ex,human,1.1723338701202508,0.7623779934416758,-0.40995587667857497,1.1723338701202508
forma de,human,1.1723333251850783,0.7623780092765594,-0.40995531590851886,1.1723333251850783
essas,human,1.17233222921524,0.762378164238153,-0.4099540649770872,1.17233222921524
outros,human,1.1723307050540517,0.7623781420941766,-0.4099525629598749,1.1723307050540517
tenha,human,1.1723304092053204,0.7623780438329794,-0.4099523653723409,1.1723304092053204
estava,human,1.1723254538028314,0.7623783178208833,-0.40994713598194804,1.1723254538028314
que ele,human,1.0204822683423136,0.6811282446034539,-0.3393540237388598,1.0204822683423136
forma,human,0.9692598229591276,0.6517137841145019,-0.31754603884462573,0.9692598229591276
tempo,human,0.9692255471027165,0.6516823249340044,-0.31754322216871217,0.9692255471027165
um,human,0.9462841214912405,0.6392051256862477,-0.30707899580499287,0.9462841214912405
entre,human,0.9221431819059479,0.625135276775055,-0.2970079051308929,0.9221431819059479
