rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
"ADV(*, PRON/obl:de)",0.005040543765995571,0.028578933251794413,-0.023538389485798842,0.023538389485798842,1,4,5.0,20.0,168.0,0.13812397547208768,-0.5388671660132733,medium,machine,0.393909115235213,False
"NUM(*, NOUN/nmod:de)",0.01608515712583744,0.0385671247028226,-0.02248196757698516,0.02248196757698516,2,7,10.0,35.0,157.0,0.1159117195058553,-0.43590309252296344,small,machine,0.3432770154596484,False
"VERB(NOUN/nsubj, *, NOUN/obl:em)",0.027618454470076027,0.04964825794009912,-0.02202980347002309,0.02202980347002309,4,11,20.0,55.0,146.0,0.0960510003642083,-0.4170818626789985,small,machine,0.3301918287213071,False
"ADJ(NOUN/nsubj, *)",0.007185661364477511,0.02915640381513417,-0.02197074245065666,0.02197074245065666,1,5,5.0,25.0,161.5,0.09804204575463267,-0.5113189210210516,medium,machine,0.3301918287213071,False
"VERB(*, NOUN/obl:após)",0.007809780086061297,0.029602406001624403,-0.021792625915563107,0.021792625915563107,1,5,5.0,25.0,162.5,0.10720513919522957,-0.4956224993921288,small,machine,0.3301918287213071,False
"PROPN(*, NOUN/conj:e)",0.0148437032963646,0.036515733861836375,-0.021672030565471775,0.021672030565471775,1,7,5.0,35.0,143.5,0.03015587349716632,-0.3723974606971029,small,machine,0.13658836819304745,False
"PROPN(ADP/case, *)",0.008067801756859758,0.02938563233565874,-0.02131783057879898,0.02131783057879898,1,5,5.0,25.0,162.5,0.10720513919522957,-0.48516098927028484,small,machine,0.3301918287213071,False
"VERB(NOUN/nsubj, *, NOUN/obl:a)",0.007185661364477511,0.02841047446730669,-0.02122481310282918,0.02122481310282918,1,5,5.0,25.0,162.5,0.10720513919522957,-0.5068346648784549,medium,machine,0.3301918287213071,False
"VERB(*, NOUN/obl:por)",0.01559467666315309,0.03342307225306244,-0.017828395589909347,0.017828395589909347,2,6,10.0,30.0,166.0,0.19464815378437106,-0.3615687783274641,small,machine,0.47534376898800484,False
"ADJ(*, NOUN/obl:em)",0.005040543765995571,0.022575622320129773,-0.017535078554134203,0.017535078554134203,1,4,5.0,20.0,170.0,0.16493415941084166,-0.4861514543874333,small,machine,0.4535689383798146,False
"NOUN(*, PROPN/nmod:de)",0.04024170123012263,0.05710803934376486,-0.016866338113642236,0.016866338113642236,9,18,45.0,90.0,166.0,0.3564987646678123,-0.4467474381766341,small,machine,0.6383815088237569,False
